"POLY_ID","job","batch","prop","raster_year"
"AGO","job0","2022_03_02_batch_0",0,Inf
"AGO","job0","2022_03_02_batch_0",0.01,Inf
"AGO","job0","2022_03_02_batch_0",0.02,Inf
"AGO","job0","2022_03_02_batch_0",0.03,Inf
"AGO","job0","2022_03_02_batch_0",0.04,Inf
"AGO","job0","2022_03_02_batch_0",0.05,Inf
"AGO","job0","2022_03_02_batch_0",0.06,Inf
"AGO","job0","2022_03_02_batch_0",0.07,Inf
"AGO","job0","2022_03_02_batch_0",0.08,Inf
"AGO","job0","2022_03_02_batch_0",0.09,Inf
"AGO","job0","2022_03_02_batch_0",0.1,Inf
"AGO","job0","2022_03_02_batch_0",0.25,Inf
"AGO","job0","2022_03_02_batch_0",0.5,Inf
"AGO","job0","2022_03_02_batch_0",0.75,Inf
"AGO","job1","2022_03_02_batch_0",0,Inf
"AGO","job1","2022_03_02_batch_0",0.01,Inf
"AGO","job1","2022_03_02_batch_0",0.02,Inf
"AGO","job1","2022_03_02_batch_0",0.03,Inf
"AGO","job1","2022_03_02_batch_0",0.04,Inf
"AGO","job1","2022_03_02_batch_0",0.05,Inf
"AGO","job1","2022_03_02_batch_0",0.06,Inf
"AGO","job1","2022_03_02_batch_0",0.07,Inf
"AGO","job1","2022_03_02_batch_0",0.08,Inf
"AGO","job1","2022_03_02_batch_0",0.09,Inf
"AGO","job1","2022_03_02_batch_0",0.1,Inf
"AGO","job1","2022_03_02_batch_0",0.25,Inf
"AGO","job1","2022_03_02_batch_0",0.5,Inf
"AGO","job1","2022_03_02_batch_0",0.75,Inf
"AGO","job10","2022_03_02_batch_0",0,Inf
"AGO","job10","2022_03_02_batch_0",0.01,Inf
"AGO","job10","2022_03_02_batch_0",0.02,Inf
"AGO","job10","2022_03_02_batch_0",0.03,Inf
"AGO","job10","2022_03_02_batch_0",0.04,Inf
"AGO","job10","2022_03_02_batch_0",0.05,Inf
"AGO","job10","2022_03_02_batch_0",0.06,Inf
"AGO","job10","2022_03_02_batch_0",0.07,Inf
"AGO","job10","2022_03_02_batch_0",0.08,Inf
"AGO","job10","2022_03_02_batch_0",0.09,Inf
"AGO","job10","2022_03_02_batch_0",0.1,Inf
"AGO","job10","2022_03_02_batch_0",0.25,Inf
"AGO","job10","2022_03_02_batch_0",0.5,Inf
"AGO","job10","2022_03_02_batch_0",0.75,Inf
"AGO","job14","2022_03_02_batch_0",0,11
"AGO","job14","2022_03_02_batch_0",0.01,Inf
"AGO","job14","2022_03_02_batch_0",0.02,Inf
"AGO","job14","2022_03_02_batch_0",0.03,Inf
"AGO","job14","2022_03_02_batch_0",0.04,Inf
"AGO","job14","2022_03_02_batch_0",0.05,Inf
"AGO","job14","2022_03_02_batch_0",0.06,Inf
"AGO","job14","2022_03_02_batch_0",0.07,Inf
"AGO","job14","2022_03_02_batch_0",0.08,Inf
"AGO","job14","2022_03_02_batch_0",0.09,Inf
"AGO","job14","2022_03_02_batch_0",0.1,Inf
"AGO","job14","2022_03_02_batch_0",0.25,Inf
